sample_number,treatment,population,well,plate,plate_well
25,E_1000N_2C_5P,D_1000N_20C_5P_1_4,A1,1,1_A1
36,F_1000N_0C_5P,F_1000N_0C_5P_1_1,A2,1,1_A2
57,C_1000N_0C_50P,I_50N_0C_50P_1_1,A3,1,1_A3
26,COMBO,D_1000N_20C_5P_1_5,A4,1,1_A4
15,G_50N_20C_50P,C_1000N_0C_50P_1_1,A5,1,1_A5
89,H_50N_2C_50P,COMBO,A6,1,1_A6
67,C_1000N_0C_50P,J_50N_20C_5P_1_4,B1,1,1_B1
32,K_50N_2C_5P,E_1000N_2C_5P_1_4,B2,1,1_B2
84,J_50N_20C_5P,L_50N_0C_5P_1_7,B3,1,1_B3
76,COMBO,K_50N_2C_5P_1_6,B4,1,1_B4
7,G_50N_20C_50P,A_1000N_20C_50P_1_7,B5,1,1_B5
93,K_50N_2C_5P,COMBO,B6,1,1_B6
14,A_1000N_20C_50P,B_1000N_2C_50P_1_7,C1,1,1_C1
43,L_50N_OC_5P,G_50N_20C_50P_1_1,C2,1,1_C2
81,A_1000N_20C_50P,L_50N_0C_5P_1_4,C3,1,1_C3
50,COMBO,H_50N_2C_50P_1_1,C4,1,1_C4
91,L_50N_OC_5P,COMBO,C5,1,1_C5
51,A_1000N_20C_50P,H_50N_2C_50P_1_2,C6,1,1_C6
42,B_1000N_2C_50P,F_1000N_0C_5P_1_7,D1,1,1_D1
72,B_1000N_2C_50P,K_50N_2C_5P_1_2,D2,1,1_D2
9,D_1000N_20C_5P,B_1000N_2C_50P_1_2,D3,1,1_D3
69,E_1000N_2C_5P,J_50N_20C_5P_1_6,D4,1,1_D4
31,I_50N_0C_50P,E_1000N_2C_5P_1_3,D5,1,1_D5
79,F_1000N_0C_5P,L_50N_0C_5P_1_2,D6,1,1_D6
75,L_50N_0C_5P,K_50N_2C_5P_1_5,A1,2,2_A1
61,I_50N_0C_50P,I_50N_0C_50P_1_5,A2,2,2_A2
38,I_50N_0C_50P,F_1000N_0C_5P_1_3,A3,2,2_A3
41,F_1000N_0C_5P,F_1000N_0C_5P_1_6,A4,2,2_A4
34,I_50N_0C_50P,E_1000N_2C_5P_1_6,A5,2,2_A5
5,H_50N_2C_50P,A_1000N_20C_50P_1_5,A6,2,2_A6
60,E_1000N_2C_5P,I_50N_0C_50P_1_4,B1,2,2_B1
73,COMBO,K_50N_2C_5P_1_3,B2,2,2_B2
18,J_50N_20C_5P,C_1000N_0C_50P_1_4,B3,2,2_B3
92,F_1000N_0C_5P,COMBO,B4,2,2_B4
29,COMBO,E_1000N_2C_5P_1_1,B5,2,2_B5
86,L_50N_OC_5P,COMBO,B6,2,2_B6
53,J_50N_20C_5P,H_50N_2C_50P_1_4,C1,2,2_C1
21,I_50N_0C_50P,C_1000N_0C_50P_1_7,C2,2,2_C2
12,H_50N_2C_50P,B_1000N_2C_50P_1_5,C3,2,2_C3
62,K_50N_2C_5P,I_50N_0C_50P_1_6,C4,2,2_C4
95,F_1000N_0C_5P,COMBO,C5,2,2_C5
27,G_50N_20C_50P,D_1000N_20C_5P_1_6,C6,2,2_C6
74,H_50N_2C_50P,K_50N_2C_5P_1_4,D1,2,2_D1
13,C_1000N_0C_50P,B_1000N_2C_50P_1_6,D2,2,2_D2
64,COMBO,J_50N_20C_5P_1_1,D3,2,2_D3
8,B_1000N_2C_50P,B_1000N_2C_50P_1_1,D4,2,2_D4
23,K_50N_2C_5P,D_1000N_20C_5P_1_2,D5,2,2_D5
33,E_1000N_2C_5P,E_1000N_2C_5P_1_5,D6,2,2_D6
63,COMBO,I_50N_0C_50P_1_7,A1,3,3_A1
6,B_1000N_2C_50P,A_1000N_20C_50P_1_6,A2,3,3_A2
85,G_50N_20C_50P,COMBO,A3,3,3_A3
71,K_50N_2C_5P,K_50N_2C_5P_1_1,A4,3,3_A4
47,J_50N_20C_5P,G_50N_20C_50P_1_5,A5,3,3_A5
17,D_1000N_20C_5P,C_1000N_0C_50P_1_3,A6,3,3_A6
39,A_1000N_20C_50P,F_1000N_0C_5P_1_4,B1,3,3_B1
40,K_50N_2C_5P,F_1000N_0C_5P_1_5,B2,3,3_B2
45,D_1000N_20C_5P,G_50N_20C_50P_1_3,B3,3,3_B3
59,C_1000N_0C_50P,I_50N_0C_50P_1_3,B4,3,3_B4
58,E_1000N_2C_5P,I_50N_0C_50P_1_2,B5,3,3_B5
22,COMBO,D_1000N_20C_5P_1_1,B6,3,3_B6
30,J_50N_20C_5P,E_1000N_2C_5P_1_2,C1,3,3_C1
3,D_1000N_20C_5P,A_1000N_20C_50P_1_3,C2,3,3_C2
82,E_1000N_2C_5P,L_50N_OC_5P_1_5,C3,3,3_C3
96,A_1000N_20C_50P,COMBO,C4,3,3_C4
70,F_1000N_0C_5P,J_50N_20C_5P_1_7,C5,3,3_C5
19,C_1000N_0C_50P,C_1000N_0C_50P_1_5,C6,3,3_C6
16,D_1000N_20C_5P,C_1000N_0C_50P_1_2,D1,3,3_D1
87,C_1000N_0C_50P,COMBO,D2,3,3_D2
55,H_50N_2C_50P,H_50N_2C_50P_1_6,D3,3,3_D3
68,L_50N_0C_5P,J_50N_20C_5P_1_5,D4,3,3_D4
4,D_1000N_20C_5P,A_1000N_20C_50P_1_4,D5,3,3_D5
20,F_1000N_0C_5P,C_1000N_0C_50P_1_6,D6,3,3_D6
10,G_50N_20C_50P,B_1000N_2C_50P_1_3,A1,4,4_A1
83,D_1000N_20C_5P,L_50N_OC_5P_1_6,A2,4,4_A2
11,J_50N_20C_5P,B_1000N_2C_50P_1_4,A3,4,4_A3
90,B_1000N_2C_50P,COMBO,A4,4,4_A4
77,I_50N_0C_50P,K_50N_2C_5P_1_7,A5,4,4_A5
28,H_50N_2C_50P,D_1000N_20C_5P_1_7,A6,4,4_A6
66,K_50N_2C_5P,J_50N_20C_5P_1_3,B1,4,4_B1
2,G_50N_20C_50P,A_1000N_20C_50P_1_2,B2,4,4_B2
94,C_1000N_0C_50P,COMBO,B3,4,4_B3
80,COMBO,L_50N_OC_5P_1_3,B4,4,4_B4
56,A_1000N_20C_50P,H_50N_2C_50P_1_7,B5,4,4_B5
78,A_1000N_20C_50P,L_50N_OC_5P_1_1,B6,4,4_B6
24,B_1000N_2C_50P,D_1000N_20C_5P_1_3,C1,4,4_C1
48,J_50N_20C_5P,G_50N_20C_50P_1_6,C2,4,4_C2
37,COMBO,F_1000N_0C_5P_1_2,C3,4,4_C3
52,I_50N_0C_50P,H_50N_2C_50P_1_3,C4,4,4_C4
54,COMBO,H_50N_2C_50P_1_5,C5,4,4_C5
46,L_50N_OC_5P,G_50N_20C_50P_1_4,C6,4,4_C6
35,H_50N_2C_50P,E_1000N_2C_5P_1_7,D1,4,4_D1
88,COMBO,COMBO,D2,4,4_D2
49,B_1000N_2C_50P,G_50N_20C_50P_1_7,D3,4,4_D3
44,G_50N_20C_50P,G_50N_20C_50P_1_2,D4,4,4_D4
1,E_1000N_2C_5P,A_1000N_20C_50P_1_1,D5,4,4_D5
65,L_50N_0C_5P,J_50N_20C_5P_1_2,D6,4,4_D6