sample_number,treatment,population,well,plate
25,D_1000N_20C_5P,D_1000N_20C_5P_1_4,A1,1
36,F_1000N_0C_5P,F_1000N_0C_5P_1_1,A2,1
57,I_50N_0C_50P,I_50N_0C_50P_1_1,A3,1
26,D_1000N_20C_5P,D_1000N_20C_5P_1_5,A4,1
15,C_1000N_0C_50P,C_1000N_0C_50P_1_1,A5,1
89,COMBO,COMBO,A6,1
67,J_50N_20C_5P,J_50N_20C_5P_1_4,B1,1
32,E_1000N_2C_5P,E_1000N_2C_5P_1_4,B2,1
84,L_50N_0C_5P,L_50N_OC_5P_1_7,B3,1
76,K_50N_2C_5P,K_50N_2C_5P_1_6,B4,1
7,A_1000N_20C_50P,A_1000N_20C_50P_1_7,B5,1
93,COMBO,COMBO,B6,1
14,B_1000N_2C_50P,B_1000N_2C_50P_1_7,C1,1
43,G_50N_20C_50P,G_50N_20C_50P_1_1,C2,1
81,L_50N_0C_5P,L_50N_OC_5P_1_4,C3,1
50,H_50N_2C_50P,H_50N_2C_50P_1_1,C4,1
91,COMBO,COMBO,C5,1
51,H_50N_2C_50P,H_50N_2C_50P_1_2,C6,1
42,F_1000N_0C_5P,F_1000N_0C_5P_1_7,D1,1
72,K_50N_2C_5P,K_50N_2C_5P_1_2,D2,1
9,B_1000N_2C_50P,B_1000N_2C_50P_1_2,D3,1
69,J_50N_20C_5P,J_50N_20C_5P_1_6,D4,1
31,E_1000N_2C_5P,E_1000N_2C_5P_1_3,D5,1
79,L_50N_0C_5P,L_50N_OC_5P_1_2,D6,1
75,K_50N_2C_5P,K_50N_2C_5P_1_5,A1,2
61,I_50N_0C_50P,I_50N_0C_50P_1_5,A2,2
38,F_1000N_0C_5P,F_1000N_0C_5P_1_3,A3,2
41,F_1000N_0C_5P,F_1000N_0C_5P_1_6,A4,2
34,E_1000N_2C_5P,E_1000N_2C_5P_1_6,A5,2
5,A_1000N_20C_50P,A_1000N_20C_50P_1_5,A6,2
60,I_50N_0C_50P,I_50N_0C_50P_1_4,B1,2
73,K_50N_2C_5P,K_50N_2C_5P_1_3,B2,2
18,C_1000N_0C_50P,C_1000N_0C_50P_1_4,B3,2
92,COMBO,COMBO,B4,2
29,E_1000N_2C_5P,E_1000N_2C_5P_1_1,B5,2
86,COMBO,COMBO,B6,2
53,H_50N_2C_50P,H_50N_2C_50P_1_4,C1,2
21,C_1000N_0C_50P,C_1000N_0C_50P_1_7,C2,2
12,B_1000N_2C_50P,B_1000N_2C_50P_1_5,C3,2
62,I_50N_0C_50P,I_50N_0C_50P_1_6,C4,2
95,COMBO,COMBO,C5,2
27,D_1000N_20C_5P,D_1000N_20C_5P_1_6,C6,2
74,K_50N_2C_5P,K_50N_2C_5P_1_4,D1,2
13,B_1000N_2C_50P,B_1000N_2C_50P_1_6,D2,2
64,J_50N_20C_5P,J_50N_20C_5P_1_1,D3,2
8,B_1000N_2C_50P,B_1000N_2C_50P_1_1,D4,2
23,D_1000N_20C_5P,D_1000N_20C_5P_1_2,D5,2
33,E_1000N_2C_5P,E_1000N_2C_5P_1_5,D6,2
63,I_50N_0C_50P,I_50N_0C_50P_1_7,A1,3
6,A_1000N_20C_50P,A_1000N_20C_50P_1_6,A2,3
85,COMBO,COMBO,A3,3
71,K_50N_2C_5P,K_50N_2C_5P_1_1,A4,3
47,G_50N_20C_50P,G_50N_20C_50P_1_5,A5,3
17,C_1000N_0C_50P,C_1000N_0C_50P_1_3,A6,3
39,F_1000N_0C_5P,F_1000N_0C_5P_1_4,B1,3
40,F_1000N_0C_5P,F_1000N_0C_5P_1_5,B2,3
45,G_50N_20C_50P,G_50N_20C_50P_1_3,B3,3
59,I_50N_0C_50P,I_50N_0C_50P_1_3,B4,3
58,I_50N_0C_50P,I_50N_0C_50P_1_2,B5,3
22,D_1000N_20C_5P,D_1000N_20C_5P_1_1,B6,3
30,E_1000N_2C_5P,E_1000N_2C_5P_1_2,C1,3
3,A_1000N_20C_50P,A_1000N_20C_50P_1_3,C2,3
82,L_50N_0C_5P,L_50N_OC_5P_1_5,C3,3
96,COMBO,COMBO,C4,3
70,J_50N_20C_5P,J_50N_20C_5P_1_7,C5,3
19,C_1000N_0C_50P,C_1000N_0C_50P_1_5,C6,3
16,C_1000N_0C_50P,C_1000N_0C_50P_1_2,D1,3
87,COMBO,COMBO,D2,3
55,H_50N_2C_50P,H_50N_2C_50P_1_6,D3,3
68,J_50N_20C_5P,J_50N_20C_5P_1_5,D4,3
4,A_1000N_20C_50P,A_1000N_20C_50P_1_4,D5,3
20,C_1000N_0C_50P,C_1000N_0C_50P_1_6,D6,3
10,B_1000N_2C_50P,B_1000N_2C_50P_1_3,A1,4
83,L_50N_0C_5P,L_50N_OC_5P_1_6,A2,4
11,B_1000N_2C_50P,B_1000N_2C_50P_1_4,A3,4
90,COMBO,COMBO,A4,4
77,K_50N_2C_5P,K_50N_2C_5P_1_7,A5,4
28,D_1000N_20C_5P,D_1000N_20C_5P_1_7,A6,4
66,J_50N_20C_5P,J_50N_20C_5P_1_3,B1,4
2,A_1000N_20C_50P,A_1000N_20C_50P_1_2,B2,4
94,COMBO,COMBO,B3,4
80,L_50N_0C_5P,L_50N_OC_5P_1_3,B4,4
56,H_50N_2C_50P,H_50N_2C_50P_1_7,B5,4
78,L_50N_0C_5P,L_50N_OC_5P_1_1,B6,4
24,D_1000N_20C_5P,D_1000N_20C_5P_1_3,C1,4
48,G_50N_20C_50P,G_50N_20C_50P_1_6,C2,4
37,F_1000N_0C_5P,F_1000N_0C_5P_1_2,C3,4
52,H_50N_2C_50P,H_50N_2C_50P_1_3,C4,4
54,H_50N_2C_50P,H_50N_2C_50P_1_5,C5,4
46,G_50N_20C_50P,G_50N_20C_50P_1_4,C6,4
35,E_1000N_2C_5P,E_1000N_2C_5P_1_7,D1,4
88,COMBO,COMBO,D2,4
49,G_50N_20C_50P,G_50N_20C_50P_1_7,D3,4
44,G_50N_20C_50P,G_50N_20C_50P_1_2,D4,4
1,A_1000N_20C_50P,A_1000N_20C_50P_1_1,D5,4
65,J_50N_20C_5P,J_50N_20C_5P_1_2,D6,4